district,week_start_date,cases,tmax,tmin,app_tmax,app_tmin,humidity,rainfall,precipitation,year,month,week_of_year,sin_week,cos_week,tmean,rainfall_feat,cases_lag_1,cases_lag_2,cases_lag_3,cases_lag_4,rainfall_lag_2,rainfall_lag_3,rainfall_lag_4,rainfall_lag_5,rainfall_lag_6,rainfall_lag_8,temp_lag_1,humidity_lag_1,temp_lag_2,humidity_lag_2,temp_lag_3,humidity_lag_3,temp_lag_4,humidity_lag_4,rolling_mean_2,rolling_mean_4,rolling_std_4,rate_of_change,percentage_change,rainfall_anomaly,temperature_anomaly,humidity_anomaly,is_sw_monsoon,is_ne_monsoon,is_inter_monsoon,monsoon_season,outbreak_label
Puttalam,2015-09-28,1,28.77142857142857,25.228571428571428,33.785714285714285,29.542857142857144,86.71428571428571,37.0,37.0,2015,9,40,-0.992708874098054,0.1205366802553232,27.0,37.0,1.0,1.0,0.0,1.0,27.2,30.2,19.9,12.5,27.0,9.0,27.52857142857143,85.42857142857143,27.57857142857143,84.42857142857143,27.1,84.14285714285714,27.707142857142856,83.0,1.0,0.75,0.500000000000303,0.0,0.0,8.29444444444444,-0.3332341269841272,3.845238095238088,1,0,0,SW,0
Puttalam,2015-10-05,0,29.185714285714287,25.62857142857143,34.17142857142857,29.62857142857143,83.28571428571429,28.7,28.7,2015,10,41,-0.970941817426052,0.2393156642875573,27.40714285714286,28.7,1.0,1.0,1.0,0.0,29.9,27.2,30.2,19.9,12.5,36.1,27.0,86.71428571428571,27.52857142857143,85.42857142857143,27.57857142857143,84.42857142857143,27.1,84.14285714285714,0.5,0.75,0.500000000000303,-1.0,-1.0,-35.8,0.4699248120300758,-1.7236842105263008,0,0,1,Inter,0
Puttalam,2015-10-12,2,29.685714285714287,24.728571428571428,36.52857142857143,29.7,86.28571428571429,101.0,101.0,2015,10,42,-0.9350162426854148,0.3546048870425355,27.207142857142856,101.0,0.0,1.0,1.0,1.0,37.0,29.9,27.2,30.2,19.9,27.0,27.40714285714286,83.28571428571429,27.0,86.71428571428571,27.52857142857143,85.42857142857143,27.57857142857143,84.42857142857143,1.0,1.0,0.8164965809279117,2.0,inf,36.5,0.269924812030073,1.2763157894736992,0,0,1,Inter,0
Puttalam,2015-10-19,4,29.542857142857144,24.985714285714288,36.34285714285714,30.27142857142857,86.28571428571429,109.6,109.6,2015,10,43,-0.8854560256532101,0.464723172043768,27.26428571428572,109.6,2.0,0.0,1.0,1.0,28.7,37.0,29.9,27.2,30.2,12.5,27.207142857142856,86.28571428571429,27.40714285714286,83.28571428571429,27.0,86.71428571428571,27.52857142857143,85.42857142857143,3.0,1.75,1.7078251276600218,2.0,1.0,45.1,0.3270676691729335,1.2763157894736992,0,0,1,Inter,0
Puttalam,2015-10-26,4,28.014285714285712,24.61428571428572,33.471428571428575,29.15714285714285,89.42857142857143,109.4,109.4,2015,10,44,-0.822983865893657,0.5680647467311548,26.31428571428572,109.4,4.0,2.0,0.0,1.0,101.0,28.7,37.0,29.9,27.2,19.9,27.26428571428572,86.28571428571429,27.207142857142856,86.28571428571429,27.40714285714286,83.28571428571429,27.0,86.71428571428571,4.0,2.5,1.9148542155127557,0.0,0.0,44.900000000000006,-0.6229323308270658,4.419172932330838,0,0,1,Inter,0
Puttalam,2015-11-02,3,28.67142857142857,24.47142857142857,34.642857142857146,29.52857142857143,87.14285714285714,79.3,79.3,2015,11,45,-0.7485107481711011,0.6631226582407952,26.57142857142857,79.3,4.0,4.0,2.0,0.0,109.6,101.0,28.7,37.0,29.9,30.2,26.31428571428572,89.42857142857143,27.26428571428572,86.28571428571429,27.207142857142856,86.28571428571429,27.40714285714286,83.28571428571429,3.5,3.25,0.9574271077564964,-1.0,-0.25,14.331506849315062,0.0797455968688822,1.915851272015658,0,0,1,Inter,0
Puttalam,2015-11-09,3,27.65714285714285,24.62857142857143,32.57142857142857,29.0,88.85714285714286,189.2,189.2,2015,11,46,-0.6631226582407955,0.7485107481711007,26.142857142857142,189.2,3.0,4.0,4.0,2.0,109.4,109.6,101.0,28.7,37.0,27.2,26.57142857142857,87.14285714285714,26.31428571428572,89.42857142857143,27.26428571428572,86.28571428571429,27.207142857142856,86.28571428571429,3.0,3.5,0.5773502691898882,0.0,0.0,124.23150684931504,-0.3488258317025448,3.630136986301381,0,0,1,Inter,0
Puttalam,2015-11-16,5,29.085714285714285,24.62857142857143,35.18571428571429,29.32857142857143,86.42857142857143,33.3,33.3,2015,11,47,-0.5680647467311559,0.8229838658936564,26.857142857142858,33.3,3.0,3.0,4.0,4.0,79.3,109.4,109.6,101.0,28.7,29.9,26.142857142857142,88.85714285714286,26.57142857142857,87.14285714285714,26.31428571428572,89.42857142857143,27.26428571428572,86.28571428571429,4.0,3.75,0.9574271077564964,2.0,0.6666666666666667,-31.668493150684935,0.3654598825831705,1.2015655577299498,0,0,1,Inter,0
Puttalam,2015-11-23,30,29.32857142857143,24.585714285714285,34.51428571428572,28.857142857142858,84.0,28.9,28.9,2015,11,48,-0.4647231720437684,0.88545602565321,26.957142857142856,28.9,5.0,3.0,3.0,4.0,189.2,79.3,109.4,109.6,101.0,37.0,26.857142857142858,86.42857142857143,26.142857142857142,88.85714285714286,26.57142857142857,87.14285714285714,26.31428571428572,89.42857142857143,17.5,10.25,13.200378782444096,25.0,5.0,-36.06849315068494,0.4654598825831684,-1.2270058708414808,0,0,1,Inter,0
Puttalam,2015-11-30,5,28.45714285714286,24.5,33.91428571428572,29.185714285714287,88.85714285714286,97.1,97.1,2015,11,49,-0.3546048870425359,0.9350162426854148,26.478571428571428,97.1,30.0,5.0,3.0,3.0,33.3,189.2,79.3,109.4,109.6,28.7,26.957142857142856,84.0,26.857142857142858,86.42857142857143,26.142857142857142,88.85714285714286,26.57142857142857,87.14285714285714,17.5,10.75,12.86791876463842,-25.0,-0.8333333333333334,32.13150684931506,-0.0131115459882593,3.630136986301381,0,0,1,Inter,0
